m.z,rt,p.value,t.score
460.2205,2.52,0.926968757405061,-0.0835454999999989
476.1947,2.52,0.0504360275199399,-1.49883433333333
235.1694,2.53,0.00081164334702667,-2.103642
327.1573,2.53,0.968509877740662,0.0338138333333331
520.2808,2.53,0.102718815620285,-1.27499383333333
211.1335,2.54,0.298154343813382,-0.552594666666668
386.2398,2.54,0.0340795872070437,-1.996911
473.2398,2.54,0.8149613263482,0.318252333333333
586.3352,2.54,0.907769652157023,-0.124696333333334
251.1247,2.55,0.845387120053015,-0.122284500000002
359.7131,2.55,0.0126753886976041,2.66794183333333
368.2021,2.55,0.496645855954302,0.735864333333333
465.7776,2.55,0.209517652267929,-0.967013333333334
534.3123,2.55,0.0160490063650317,-1.88018933333333
717.3667,2.55,0.0100640352030854,-1.96209233333333
340.2091,2.56,0.0161321621483465,-1.71403233333333
340.7107,2.56,0.426311926122396,-0.646194333333333
348.7224,2.56,0.00643748100612522,-1.81419166666667
349.2241,2.56,0.122542650356087,-1.176449
357.7374,2.56,0.00568004608732202,-1.93600716666667
502.2899,2.56,0.502914821459776,0.506964166666667
542.2888,2.56,0.718071939211201,0.371005499999999
560.3278,2.56,0.158909014291971,-0.87439
581.2569,2.56,0.311042470626262,-0.684514166666666
696.4374,2.56,0.00757988591859423,-1.6128285
701.3923,2.56,0.54726548732897,0.579002166666666
357.2356,2.57,0.00694827358392338,-1.58369283333333
367.7004,2.57,0.586973828846696,-0.361512666666668
390.7329,2.57,0.405941743966996,-0.548410333333335
391.2346,2.57,0.413595728224541,-0.645220666666667
399.2463,2.57,0.126780593530823,-0.902228833333334
399.748,2.57,0.0600108857287497,-1.2461805
409.711,2.57,0.614882481132321,-0.309201999999999
460.2332,2.57,0.385163492897223,-0.6531165
780.4583,2.57,0.0989208184989683,-1.22450533333333
801.3867,2.57,0.25515700391874,-0.707948500000001
474.7928,2.58,0.47561578746554,-0.620356666666666
503.2504,2.58,0.429986396093552,-0.836700000000001
416.2672,2.59,0.455477428110772,-0.917859999999997
416.7689,2.59,0.522831316060615,-0.770625666666667
814.5003,2.59,0.474786418888811,-0.509999500000002
407.754,2.6,0.416686480407263,-0.804270666666667
460.2075,2.6,0.53131560049162,0.560260999999998
474.2912,2.6,0.0450920928594065,-1.477034
676.3871,2.6,0.124281365457077,-1.2258155
296.1646,2.61,0.442911100833752,-1.05808966666667
330.2384,2.61,0.409772367618399,0.435306333333334
594.3699,2.61,0.940442392661866,0.0890043333333328
279.1702,2.62,0.0534651210869183,0.934386333333332
287.0905,2.62,0.275142230535066,-0.827808333333336
292.1545,2.62,0.651742374564708,-0.567057166666668
444.2478,2.62,0.951163063570973,-0.130432666666663
460.2751,2.62,0.532441707475305,-0.754145000000001
465.2252,2.62,0.703012292772265,-0.462037166666665
273.0635,2.63,0.466062093554337,-0.353153166666666
302.1127,2.63,0.091809801887799,-2.07929850000001
372.1194,2.63,0.93009974797586,-0.134511666666668
416.2069,2.63,0.298937367702939,-0.972250333333333
465.2553,2.63,0.214761191980479,0.830586166666667
482.1649,2.63,0.270896882247257,1.35780816666666
503.3067,2.63,0.123515710633365,-1.2264435
520.333,2.63,0.0254109459499428,-1.22216283333333
