"p.value","m.z","t.score","r.t"
0.803391684750289,606.5114,0.382052166666664,8.6
0.4960101628458,607.4495,0.441518166666665,8.6
0.276178877029042,607.4693,-0.636198833333333,8.6
0.0648319057240049,624.5555,1.01968683333333,8.6
0.0208846027491465,660.5908,1.93272766666667,8.6
0.693436387237385,664.5282,0.276383666666667,8.6
0.277538745384907,665.5825,1.0115235,8.6
0.448842405069174,713.5825,-0.583286833333332,8.6
0.882546818268158,721.522,-0.120065666666668,8.6
0.628776266895746,731.5862,0.260706833333333,8.6
0.509033536718326,763.5652,0.372373666666666,8.6
0.849686837006107,857.6315,0.131749333333332,8.6
